tahun,prodi,jumlah_pendaftar
2021,Informatika,8
2021,PBI,13
2021,PG-PAUD,16
2021,PGSD,299
2021,Pendidikan Fisika,10
2021,Pendidikan Matematika,12
2021,Sistem Informasi,8
2021,Teknik Industri,5
2022,Agribisnis,14
2022,Informatika,8
2022,Kewirausahaan,10
2022,Manajemen Ritel,13
2022,PG-PAUD,59
2022,PGSD,399
2022,Pendidikan Bahasa Indonesia,22
2022,Pendidikan Fisika,13
2022,Pendidikan Matematika,15
2022,Sistem Informasi,17
2022,Teknik Industri,13
2023,Agribisnis,33
2023,Gizi,29
2023,Hukum Bisnis,12
2023,Informatika,24
2023,Kewirausahaan,27
2023,Manajemen Ritel,28
2023,PBI,23
2023,PG-PAUD,75
2023,PGSD,339
2023,Pendidikan Fisika,23
2023,Pendidikan Khusus,10
2023,Pendidikan Matematika,17
2023,Sistem Informasi,26
2023,Teknik Industri,27
2023,Teknik Sipil,14
2024,Agribisnis,24
2024,Desain Komunikasi Visual,8
2024,Gizi,33
2024,Hukum Bisnis,12
2024,Informatika,27
2024,Kewirausahaan,15
2024,Manajemen Ritel,21
2024,PBI,15
2024,PG-PAUD,69
2024,PGSD,600
2024,Pendidikan Fisika,9
2024,Pendidikan Khusus,18
2024,Pendidikan Matematika,17
2024,Sistem Informasi,24
2024,Teknik Industri,20
2024,Teknik Sipil,18
2025,Agribisnis,14
2025,Desain Komunikasi Visual,11
2025,Gizi,27
2025,Hukum Bisnis,13
2025,Informatika,26
2025,Kewirausahaan,12
2025,Manajemen Ritel,16
2025,PBI,19
2025,PG-PAUD,241
2025,PGSD,653
2025,Pendidikan Fisika,11
2025,Pendidikan Khusus,17
2025,Pendidikan Matematika,11
2025,Sistem Informasi,18
2025,Teknik Industri,25
2025,Teknik Sipil,19
