tanggal,tahun,bulan,bulan_nama,program_studi,jumlah_pendaftar,frekuensi,kategori_data,catatan
2021-01-01,2021,1,Januari,Teknik Informatika,15,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-02-01,2021,2,Februari,Teknik Informatika,21,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-03-01,2021,3,Maret,Teknik Informatika,26,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-04-01,2021,4,April,Teknik Informatika,32,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-05-01,2021,5,Mei,Teknik Informatika,52,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-06-01,2021,6,Juni,Teknik Informatika,87,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-07-01,2021,7,Juli,Teknik Informatika,125,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-08-01,2021,8,Agustus,Teknik Informatika,100,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-09-01,2021,9,September,Teknik Informatika,42,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-10-01,2021,10,Oktober,Teknik Informatika,10,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-11-01,2021,11,November,Teknik Informatika,5,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-12-01,2021,12,Desember,Teknik Informatika,5,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-01-01,2021,1,Januari,Sistem Informasi,12,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-02-01,2021,2,Februari,Sistem Informasi,17,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-03-01,2021,3,Maret,Sistem Informasi,21,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-04-01,2021,4,April,Sistem Informasi,26,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-05-01,2021,5,Mei,Sistem Informasi,42,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-06-01,2021,6,Juni,Sistem Informasi,70,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-07-01,2021,7,Juli,Sistem Informasi,103,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-08-01,2021,8,Agustus,Sistem Informasi,89,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-09-01,2021,9,September,Sistem Informasi,34,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-10-01,2021,10,Oktober,Sistem Informasi,8,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-11-01,2021,11,November,Sistem Informasi,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-12-01,2021,12,Desember,Sistem Informasi,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-01-01,2021,1,Januari,Manajemen,19,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-02-01,2021,2,Februari,Manajemen,24,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-03-01,2021,3,Maret,Manajemen,29,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-04-01,2021,4,April,Manajemen,37,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-05-01,2021,5,Mei,Manajemen,59,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-06-01,2021,6,Juni,Manajemen,99,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
